Title;Artist;Release Year;Media;Vinyl Speed;Condition;Notes
Been Around;A Girl Called Eddy;2020;Vinile;;Nuovo;Lavaggio effettuato in data 13/04/2025.
This Time;Al Jarreau;1980;Vinile;;Usato;Lavaggio effettuato in data 08/04/2025.
My Failed Songwriting Career, Volume One;Andy Partridge;2021;CD;;;
My Failed Songwriting Career, Volume Two;Andy Partridge;2022;CD;;;
Shangri-La;Animal Nightlife;1985;CD;;;
Storm Damage;Ben Watt;2020;CD;;;
Summer into Winter;Ben Watt;1982;Vinile;45 RPM;Nuovo;Lavaggio effettuato in data 15/04/2025.
Dancing at the Edge of the World;Brooke Combe;2025;CD;;;
Butler, Blake & Grant;Butler, Blake & Grant;2025;CD;;;
Autumn in the Neighbourhood;China Crisis;2015;CD;;;
Difficult Shapes & Passive Rhythms, Some People Think It's Fun to Entertain;China Crisis;1982;Vinile;33 RPM;Usato;Lavaggio effettuato in data 19/10/2025.
Flaunt the Imperfection;China Crisis;1985;Vinile;33 RPM;Usato;Lavaggio effettuato in data 06/04/2025.
Warped By Success;China Crisis;1994;CD;;;
Working with Fire and Steel: Possible Pop Songs, Volume Two;China Crisis;1983;Vinile;33 RPM;Usato;Lavaggio effettuato in data 19/10/2025.
Autumn in the Neighbourhood (10 Year Anniversary Edition);China Crisis;2025;Vinile;33 RPM;Nuovo;Lavaggio effettuato in data 02/11/2025.
On the Beach;Chris Rea;1986;Vinile;33 RPM;Usato;Lavaggio effettuato in data 08/04/2025.
Shamrock Diaries (40th Anniversary Edition);Chris Rea;1985;Vinile;33 RPM;Nuovo;Lavaggio effettuato in data 22/05/2025.
Acadie;Daniel Lanois;1989;Vinile;33 RPM;Usato;Lavaggio effettuato in data 07/12/2024.
Bebop Moptop;Danny Wilson;1989;Vinile;33 RPM;Usato;Lavaggio effettuato in data 25/01/2025.
For Free;David Crosby;2021;Vinile;33 RPM;Nuovo;Lavaggio effettuato in data 14/04/2025.
Brilliant Trees;David Sylvian;1984;Vinile;33 RPM;Usato;Lavaggio effettuato in data 11/01/2025.
Gone to Earth;David Sylvian;1986;Vinile;33 RPM;Usato;Lavaggio effettuato in data 15/04/2025.
Secrets of the Beehive;David Sylvian;1987;Vinile;33 RPM;Usato;Lavaggio effettuato in data 15/04/2025.
Alchemy: An Index of Possibilities;David Sylvian;1985;Vinile;33 RPM;Nuovo;Lavaggio effettuato in data 07/12/2025.
Plight & Premonition / Flux & Mutability;David Sylvian/Holger Czukay;2018;Vinile;33 RPM;Nuovo;Lavaggio effettuato in data 05/07/2025.
Donald Fagen's The Nightfly Live;Donald Fagen;2021;Vinile;33 RPM;Nuovo;Lavaggio effettuato in data 14/04/2025.
Kamakiriad;Donald Fagen;1993;DVD-Audio;;;
Morph the Cat;Donald Fagen;2006;CD;;;
Sunken Condos;Donald Fagen;2012;CD;;;
The Nightfly;Donald Fagen;1982;Vinile;33 RPM;Nuovo;Lavaggio effettuato in data 13/04/2025.
The Nightfly;Donald Fagen;1982;DVD-Audio;;;
Turn Me On, I'm a Rocket Man;Eg White;1996;CD;;;
Fuse;Everything but the Girl;2023;Vinile;33 RPM;Nuovo;Lavaggio effettuato in data 14/04/2025.
Le nuvole;Fabrizio De André;1990;Vinile;33 RPM;Nuovo;Lavaggio effettuato in data 14/04/2025.
Anime salve;Fabrizio De André;1996;Vinile;33 RPM;Nuovo;Lavaggio effettuato in data 04/01/2026.
Light and Shade;Fra Lippo Lippi;1987;Vinile;33 RPM;Usato;Lavaggio effettuato in data 27/03/2025.
Trapped and Unwrapped;Friends Again;1984;Vinile;33 RPM;Nuovo;Lavaggio effettuato in data 14/04/2025.
Don't Call Me Buckwheat;Garland Jeffreys;1991;CD;;;
Ten Short Songs About Love;Gary Clark;1993;CD;;;
Gone from Here;Gary Daly;2019;CD;;;
All Things Must Pass;George Harrison;1970;CD;;;
Sahara Blue;Hector Zazou;1992;CD;;;
House for Sale;It's Immaterial;2020;CD;;;
Song;It's Immaterial;1990;CD;;;
700 giorni;Ivano Fossati;1986;Vinile;33 RPM;Nuovo;Lavaggio effettuato in data 14/04/2025.
Decadancing;Ivano Fossati;2011;CD;;;
La pianta del tè;Ivano Fossati;1988;Vinile;33 RPM;Nuovo;Lavaggio effettuato in data 08/04/2025.
Lampo viaggiatore;Ivano Fossati;2003;Vinile;33 RPM;Nuovo;Lavaggio effettuato in data 14/04/2025.
Macramè;Ivano Fossati;1996;Vinile;33 RPM;Nuovo;Lavaggio effettuato in data 14/04/2025.
Big World;Joe Jackson;1986;Vinile;33 RPM;Usato;Lavaggio effettuato in data 15/04/2025.
Body and Soul;Joe Jackson;1984;Vinile;33 RPM;Usato;Lavaggio effettuato in data 15/04/2025.
Jumpin' Jive;Joe Jackson;1981;Vinile;33 RPM;Usato;Lavaggio effettuato in data 08/04/2025.
Mike's Murder (The Motion Picture Soundtrack);Joe Jackson;1983;Vinile;33 RPM;Nuovo;Lavaggio effettuato in data 19/10/2025.
Night and Day;Joe Jackson;1982;Vinile;33 RPM;Usato;Lavaggio effettuato in data 01/08/2024.
Mercy;John Cale;2023;CD;;;
Poptical Illusion;John Cale;2024;CD;;;
and.;John Martyn;1996;CD;;;
Chalk Mark in a Rain Storm;Joni Mitchell;1988;Vinile;33 RPM;Usato;Lavaggio effettuato in data 07/12/2024.
Hejira;Joni Mitchell;1976;Vinile;33 RPM;Nuovo;Lavaggio effettuato in data 15/04/2025.
Ladies of the Canyon;Joni Mitchell;1970;Vinile;33 RPM;Usato;Lavaggio effettuato in data 01/08/2024.
Mingus;Joni Mitchell;1979;Vinile;33 RPM;Usato;Lavaggio effettuato in data 11/01/2025.
Night Ride Home;Joni Mitchell;1991;Vinile;33 RPM;Usato;Lavaggio effettuato in data 22/06/2024.
Wild Things Run Fast;Joni Mitchell;1982;Vinile;33 RPM;Usato;Lavaggio effettuato in data 15/04/2025.
Remastered Part II;Kate Bush;2018;CD;;;
Somethin' in the Water;kitti;2024;Vinile;33 RPM;Nuovo;Lavaggio effettuato in data 15/04/2025.
Dogs in the Traffic;Love and Money;1991;Vinile;33 RPM;Nuovo;Lavaggio effettuato in data 15/04/2025.
Don Giovanni;Lucio Battisti;1986;Vinile;33 RPM;Nuovo;Lavaggio effettuato in data 13/04/2025.
Hegel;Lucio Battisti;1994;Vinile;33 RPM;Nuovo;Lavaggio effettuato in data 13/04/2025.
Burchfield Nines;Michael Franks;1978;Vinile;33 RPM;Usato;Lavaggio effettuato in data 08/04/2025.
Objects of Desire;Michael Franks;1982;Vinile;33 RPM;Usato;Lavaggio effettuato in data 08/04/2025.
One Bad Habit;Michael Franks;1980;Vinile;33 RPM;Usato;Lavaggio effettuato in data 08/04/2025.
Passionfruit;Michael Franks;1983;Vinile;33 RPM;Usato;Lavaggio effettuato in data 29/06/2024.
Skin Dive;Michael Franks;1986;Vinile;33 RPM;Usato;Lavaggio effettuato in data 08/04/2025.
Sleeping Gypsy;Michael Franks;1977;Vinile;33 RPM;Usato;Lavaggio effettuato in data 06/04/2025.
The Art of Tea;Michael Franks;1975;Vinile;33 RPM;Usato;Lavaggio effettuato in data 19/10/2025.
Tiger in the Rain;Michael Franks;1979;Vinile;33 RPM;Usato;Lavaggio effettuato in data 14/04/2025.
Time Together;Michael Franks;2011;Vinile;33 RPM;Nuovo;Lavaggio effettuato in data 07/12/2025.
Blue Pacific;Michael Franks;1990;Vinile;33 RPM;Usato;Lavaggio effettuato in data 04/01/2026.
Tutu;Miles Davis;1986;DVD-Audio;;;
Snow Borne Sorrow;Nine Horses;2005;CD;;;
Aguaplano;Paolo Conte;1987;Vinile;33 RPM;Nuovo;Lavaggio effettuato in data 14/04/2025.
Mid Air;Paul Buchanan;2012;CD;;;
Flowers in the Dirt;Paul McCartney;1989;Vinile;33 RPM;Usato;Lavaggio effettuato in data 22/11/2024.
The Rhythm of the Saints;Paul Simon;1990;Vinile;33 RPM;Usato;Lavaggio effettuato in data 22/11/2024.
I/O (Bright-Side Mixes);Peter Gabriel;2023;Vinile;33 RPM;Nuovo;Lavaggio effettuato in data 14/04/2025.
I/O (Dark-Side Mixes);Peter Gabriel;2023;Vinile;33 RPM;Nuovo;Lavaggio effettuato in data 15/04/2025.
Live in Athens 1987;Peter Gabriel;2020;Vinile;33 RPM;Nuovo;Lavaggio effettuato in data 14/04/2025.
OVO;Peter Gabriel;2000;Vinile;33 RPM;Nuovo;Lavaggio effettuato in data 13/04/2025.
Plays Live;Peter Gabriel;1983;Vinile;33 RPM;Usato;Lavaggio effettuato in data 19/10/2025.
Us;Peter Gabriel;1992;Vinile;33 RPM;Nuovo;Lavaggio effettuato in data 01/06/2025.
Peter Gabriel 1 (Car);Peter Gabriel;1977;Vinile;33 RPM;Usato;
Bella 'mbriana;Pino Daniele;1982;Vinile;33 RPM;Nuovo;Lavaggio effettuato in data 30/08/2025.
Ferryboat;Pino Daniele;1985;CD;;;
Mascalzone latino;Pino Daniele;1989;Vinile;33 RPM;Nuovo;Lavaggio effettuato in data 14/04/2025.
Musicante;Pino Daniele;1984;CD;;;
Nero a metà;Pino Daniele;1980;Vinile;33 RPM;Nuovo;Lavaggio effettuato in data 14/04/2025.
Un uomo in blues;Pino Daniele;1991;Vinile;33 RPM;Nuovo;Lavaggio effettuato in data 14/04/2025.
Sció live;Pino Daniele;1984;Vinile;33 RPM;Nuovo;Lavaggio effettuato in data 04/01/2026.
Crimson / Red;Prefab Sprout;2013;CD;;;
From Langley Park to Memphis;Prefab Sprout;1988;Vinile;33 RPM;Usato;Lavaggio effettuato in data 02/12/2024.
I Trawl the Megahertz;Prefab Sprout;2003;CD;;;
Jordan: The Comeback;Prefab Sprout;1990;Vinile;33 RPM;Usato;Lavaggio effettuato in data 15/04/2025.
Let's Change the World with Music;Prefab Sprout;2009;Vinile;33 RPM;Nuovo;Lavaggio effettuato in data 08/04/2025.
Protest Songs;Prefab Sprout;1989;Vinile;33 RPM;Nuovo;Lavaggio effettuato in data 15/04/2025.
Swoon;Prefab Sprout;1984;Vinile;33 RPM;Usato;Lavaggio effettuato in data 08/04/2025.
The Gunman and Other Stories;Prefab Sprout;2001;CD;;;
Andromeda Heights;Prefab Sprout;1997;Vinile;33 RPM;Nuovo;Lavaggio effettuato in data 07/12/2025.
More.;Pulp;2025;Vinile;33 RPM;Nuovo;Lavaggio effettuato in data 21/06/2025.
Seven Dials;Roddy Frame;2014;CD;;;
Zazu;Rosie Vela;1986;CD;;;
Zazu;Rosie Vela;1986;Vinile;33 RPM;Usato;Lavaggio effettuato in data 16/08/2024.
Beauty;Ryuichi Sakamoto;1990;CD;;;
Heartbeat;Ryuichi Sakamoto;1992;CD;;;
Aja;Steely Dan;1977;Vinile;33 RPM;Nuovo;Lavaggio effettuato in data 15/04/2025.
Can't Buy a Thrill;Steely Dan;1972;Vinile;33 RPM;Nuovo;Lavaggio effettuato in data 15/04/2025.
Countdown to Ecstasy;Steely Dan;1973;Vinile;33 RPM;Nuovo;Lavaggio effettuato in data 15/04/2025.
Everything Must Go;Steely Dan;2003;DVD-Audio;;;
Everything Must Go;Steely Dan;2003;Vinile;33 RPM;Nuovo;Lavaggio effettuato in data 05/07/2025.
Gaucho;Steely Dan;1980;Vinile;33 RPM;Usato;Lavaggio effettuato in data 15/04/2025.
Gaucho;Steely Dan;1980;DVD-Audio;;;
Katy Lied;Steely Dan;1975;Vinile;33 RPM;Nuovo;Lavaggio effettuato in data 15/04/2025.
Pretzel Logic;Steely Dan;1974;Vinile;33 RPM;Nuovo;Lavaggio effettuato in data 15/04/2025.
The Royal Scam;Steely Dan;1976;Vinile;33 RPM;Usato;Lavaggio effettuato in data 16/08/2024.
Two against Nature;Steely Dan;2000;Vinile;45 RPM;Nuovo;Lavaggio effettuato in data 13/04/2025.
Alive in America;Steely Dan;1995;Vinile;33 RPM;Nuovo;
Born 2 B Blue;Steve Miller;1988;Vinile;33 RPM;Usato;
Talking Book;Stevie Wonder;1972;CD;;;
"Stevie Wonder's Journey Through ""The Secret Life of Plants""";Stevie Wonder;1979;CD;;;
A Walk across the Rooftops;The Blue Nile;1983;Vinile;33 RPM;Usato;Lavaggio effettuato in data 13/04/2025.
Hats;The Blue Nile;1989;Vinile;33 RPM;Nuovo;Lavaggio effettuato in data 14/04/2025.
High;The Blue Nile;2004;Vinile;33 RPM;Nuovo;Lavaggio effettuato in data 13/04/2025.
Peace at Last;The Blue Nile;1996;Vinile;33 RPM;Nuovo;Lavaggio effettuato in data 14/04/2025.
Vocalese;The Manhattan Transfer;1985;Vinile;33 RPM;Usato;Lavaggio effettuato in data 15/04/2025.
Our Favourite Shop;The Style Council;1985;Vinile;33 RPM;Usato;Lavaggio effettuato in data 25/01/2025.
Ensoulment;The The;2024;CD;;;
Life, Death and Dennis Hopper;The Waterboys;2025;Vinile;33 RPM;Nuovo;Lavaggio effettuato in data 21/06/2025.
This Is the Sea;The Waterboys;1985;Vinile;33 RPM;Usato;Lavaggio effettuato in data 21/06/2025.
Todd;Todd Rundgren;1974;Vinile;33 RPM;Usato;Lavaggio effettuato in data 15/04/2025.
Absolute Beginners (The Original Motion Picture Soundtrack);Various;1986;CD;;;
The Tree and the Bird and the Fish and the Bell - Glasgow Songs by Glasgow Artists;Various;1991;CD;;;
Until the End of the World (Music from the Motion Picture Soundtrack);Various;1991;CD;;;
Compañeros;Working Week;1986;CD;;;
Working Nights;Working Week;1985;CD;;;
Apple Venus Volume 1;XTC;1999;CD;;;
Black Sea;XTC;1980;CD;;;
Drums and Wires;XTC;1979;CD;;;
Homegrown;XTC;2001;CD;;;
Nonsuch;XTC;1992;CD;;;
Oranges & Lemons;XTC;1989;CD;;;
Skylarking;XTC;1986;CD;;;
The Big Express;XTC;1984;CD;;;
Wasp Star (Apple Venus Volume 2);XTC;2000;CD;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;152;;;;;
;;;;;;
