artist_key,subject,type,date,is_dead,gender
Al Di Meola,Al Di Meola,Nascita,1954-07-22,False,male
Al Jarreau,Al Jarreau,Nascita,1940-03-12,True,male
Al Jarreau,Al Jarreau,Morte,2017-02-12,True,male
Alice,Alice,Nascita,1990-03-21,False,female
Amy Winehouse,Amy Winehouse,Nascita,1983-09-14,True,female
Amy Winehouse,Amy Winehouse,Morte,2011-07-23,True,female
Andy Partridge,Andy Partridge,Nascita,1953-11-11,False,male
Andy Summers,Andy Summers,Nascita,1942-12-31,False,male
Anita Baker,Anita Baker,Nascita,1958-01-26,False,female
Arturo Benedetti Michelangeli,Arturo Benedetti Michelangeli,Nascita,1920-01-05,True,male
Arturo Benedetti Michelangeli,Arturo Benedetti Michelangeli,Morte,1995-06-12,True,male
Ben Folds,Ben Folds,Nascita,1966-09-12,False,male
Ben Watt,Ben Watt,Nascita,1962-12-06,False,male
Bernard Butler,Bernard Butler,Nascita,1970-05-01,False,male
Beth Gibbons,Beth Gibbons,Nascita,1965-01-04,False,female
Bill LaBounty,Bill LaBounty,Nascita,1953-05-22,False,male
Bill Withers,Bill Withers,Nascita,1938-07-04,True,male
Bill Withers,Bill Withers,Morte,2020-03-30,True,male
Billy Joel,Billy Joel,Nascita,1949-05-09,False,male
Björk,Björk,Nascita,1965-11-21,False,female
Bob Dylan,Bob Dylan,Nascita,1941-05-24,False,male
Bob Neuwirth,Bob Neuwirth,Nascita,1939-06-20,True,male
Bob Neuwirth,Bob Neuwirth,Morte,2022-05-18,True,male
Bobby McFerrin,Bobby McFerrin,Nascita,1950-03-11,False,male
Boz Scaggs,Boz Scaggs,Nascita,1944-06-08,False,male
Brian Eno,Brian Eno,Nascita,1948-05-15,False,male
Bruce Springsteen,Bruce Springsteen,Nascita,1949-09-23,False,male
Bryan Ferry,Bryan Ferry,Nascita,1945-09-26,False,male
Burt Bacharach,Burt Bacharach,Nascita,1928-05-12,True,male
Burt Bacharach,Burt Bacharach,Morte,2023-02-08,True,male
Caetano Veloso,Caetano Veloso,Nascita,1942-08-07,False,male
Carole King,Carole King,Nascita,1942-02-09,False,female
Cat Stevens,Cat Stevens,Nascita,1948-07-21,False,male
Charles Mingus,Charles Mingus,Nascita,1922-04-22,True,male
Charles Mingus,Charles Mingus,Morte,1979-01-05,True,male
Chris Rea,Chris Rea,Nascita,1951-03-04,True,male
Chris Rea,Chris Rea,Morte,2025-12-22,True,male
Claire Martin,Claire Martin,Nascita,1967-09-06,False,female
Courtney Pine,Courtney Pine,Nascita,1964-03-18,False,male
Curt Smith,Curt Smith,Nascita,1961-06-24,False,male
Daniel Lanois,Daniel Lanois,Nascita,1951-09-19,False,male
Daryl Hall,Daryl Hall,Nascita,1946-10-11,False,male
Dave Grusin,Dave Grusin,Nascita,1934-06-26,False,male
Dave Holland,Dave Holland,Nascita,1946-10-01,False,male
David Bowie,David Bowie,Nascita,1947-01-08,True,male
David Bowie,David Bowie,Morte,2016-01-10,True,male
David Byrne,David Byrne,Nascita,1952-05-14,False,male
David Crosby,David Crosby,Nascita,1941-08-14,True,male
David Crosby,David Crosby,Morte,2023-01-18,True,male
David Gilmour,David Gilmour,Nascita,1946-03-06,False,male
David Sylvian,David Sylvian,Nascita,1958-02-23,False,male
Dee C Lee,Dee C Lee,Nascita,1961-06-06,False,female
Dexter Gordon,Dexter Gordon,Nascita,1923-02-27,True,male
Dexter Gordon,Dexter Gordon,Morte,1990-04-25,True,male
Djavan,Djavan,Nascita,1949-01-27,False,male
Donald Fagen,Donald Fagen,Nascita,1948-01-10,False,male
Elvis Costello,Elvis Costello,Nascita,1954-08-25,False,male
Emma-Jean Thackray,Emma-Jean Thackray,Nascita,1989-00-00,False,female
Erykah Badu,Erykah Badu,Nascita,1971-02-26,False,female
Esperanza Spalding,Esperanza Spalding,Nascita,1984-10-18,False,female
Fabrizio De André,Fabrizio De André,Nascita,1940-02-18,True,male
Fabrizio De André,Fabrizio De André,Morte,1999-01-11,True,male
Fabrizio de André,Fabrizio de André,Nascita,1940-02-18,True,male
Fabrizio de André,Fabrizio de André,Morte,1999-01-11,True,male
Flavio Giurato,Flavio Giurato,Nascita,1949-01-10,False,male
Francesco De Gregori,Francesco De Gregori,Nascita,1951-04-04,False,male
Franco Battiato,Franco Battiato,Nascita,1945-03-23,True,male
Franco Battiato,Franco Battiato,Morte,2021-05-18,True,male
Garbo,Garbo,Nascita,1958-04-25,False,male
Garland Jeffreys,Garland Jeffreys,Nascita,1943-07-03,False,male
Gary Daly,Gary Daly,Nascita,1962-05-05,False,male
George Duke,George Duke,Nascita,1946-01-12,True,male
George Duke,George Duke,Morte,2013-08-05,True,male
George Harrison,George Harrison,Nascita,1943-02-25,True,male
George Harrison,George Harrison,Morte,2001-11-29,True,male
